_id,INSPECT_ID,SR_NUM,BEG_DATE,END_DATE,STATUS
15194,173055,HCE-20171215-5214,2017-12-29T00:00:00,2018-01-02T00:00:00,
15195,173499,HCE-20171207-5156,2018-01-25T00:00:00,2018-01-26T00:00:00,
15196,173498,HCE-20171115-5015,2018-01-25T00:00:00,2018-01-26T00:00:00,
15197,173201,HCE-20171117-5032,2018-01-09T00:00:00,2018-01-09T00:00:00,
15198,173171,HCE-20171107-4934,2018-01-05T00:00:00,2018-01-08T00:00:00,NO CAUSE FOR ACTION INSPECTION
15199,173084,HCE-20180102-1009,2018-01-03T00:00:00,2018-01-03T00:00:00,
15200,173481,HCE-20180118-3658,2018-01-25T00:00:00,2018-01-25T00:00:00,
15201,173277,HCE-20171201-5102,2018-01-09T00:00:00,2018-01-11T00:00:00,
15202,173532,HCE-20171212-5185,2018-01-30T00:00:00,2018-01-30T00:00:00,
15203,173396,HCE-20180117-3633,2018-01-19T00:00:00,2018-01-22T00:00:00,
15204,173550,HCE-20180126-3725,2018-01-30T00:00:00,2018-01-31T00:00:00,
15205,173053,HCE-20171113-4979,2018-01-02T00:00:00,2018-01-02T00:00:00,
15206,173308,HCE-20180102-1000,2018-01-16T00:00:00,2018-01-16T00:00:00,
15207,173195,HCE-20171214-5204,2018-01-09T00:00:00,2018-01-09T00:00:00,
15208,173472,HCE-20180119-3673,2018-01-24T00:00:00,2018-01-25T00:00:00,
15209,173508,HCE-20180111-3581,2018-01-25T00:00:00,2018-01-26T00:00:00,
15210,173274,HCE-20180105-1060,2018-01-09T00:00:00,2018-01-11T00:00:00,
15211,173057,HCE-20171228-5282,2018-01-02T00:00:00,2018-01-02T00:00:00,
15212,173067,HCE-20171122-5050,2018-01-02T00:00:00,2018-01-03T00:00:00,
15213,173165,HCE-20180104-1046,2018-01-05T00:00:00,2018-01-08T00:00:00,
15214,173070,HCE-20171031-4887,2018-01-02T00:00:00,2018-01-03T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15215,173241,HCE-20171215-5211,2018-01-09T00:00:00,2018-01-10T00:00:00,NO CAUSE FOR ACTION INSPECTION
15216,173069,HCE-20170920-4523,2018-01-02T00:00:00,2018-01-03T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15217,173538,HCE-20171218-5222,2018-01-30T00:00:00,2018-01-31T00:00:00,NO CAUSE FOR ACTION INSPECTION
15218,173551,HCE-20171020-4802,2018-01-26T00:00:00,2018-01-31T00:00:00,
15219,173410,HCE-20170822-4169,2018-01-22T00:00:00,2018-01-23T00:00:00,
15220,173355,HCE-20171016-4727,2018-01-17T00:00:00,2018-01-17T00:00:00,
15221,173547,HCE-20170830-4275,2018-01-29T00:00:00,2018-01-31T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15222,173174,HCE-20171002-4608,2018-01-05T00:00:00,2018-01-08T00:00:00,
15223,173434,HCE-20171207-5152,2018-01-19T00:00:00,2018-01-23T00:00:00,
15224,173320,HCE-20171222-5251,2018-01-05T00:00:00,2018-01-16T00:00:00,
15225,173109,HCE-20170809-3999,2018-01-03T00:00:00,2018-01-04T00:00:00,
15226,173422,HCE-20171017-4750,2018-01-12T00:00:00,2018-01-23T00:00:00,
15227,173128,HCE-20171213-5186,2018-01-04T00:00:00,2018-01-05T00:00:00,NO CAUSE FOR ACTION INSPECTION
15228,173386,HCE-20171130-5094,2018-01-18T00:00:00,2018-01-19T00:00:00,
15229,173512,HCE-20171205-5119,2018-01-26T00:00:00,2018-01-29T00:00:00,
15230,173495,HCE-20171101-4888,2018-01-25T00:00:00,2018-01-26T00:00:00,
15231,173404,HCE-20170720-3741,2018-01-19T00:00:00,2018-01-22T00:00:00,
15232,173403,HCE-20171023-4815,2018-01-19T00:00:00,2018-01-22T00:00:00,
15233,173231,HCE-20170201-1837,2018-01-09T00:00:00,2018-01-10T00:00:00,ALL PREVIOUSLY CITED VIOLATIONS HAVE BEEN CORRECTED
15234,173198,HCE-20180104-1056,2018-01-09T00:00:00,2018-01-09T00:00:00,NO CAUSE FOR ACTION INSPECTION
15235,173446,HCE-20180108-2205,2018-01-19T00:00:00,2018-01-24T00:00:00,
15236,173362,HCE-20180116-3621,2018-01-17T00:00:00,2018-01-18T00:00:00,
15237,173366,HCE-20180112-3593,2018-01-18T00:00:00,2018-01-18T00:00:00,
15238,173193,HCE-20180108-1452,2018-01-08T00:00:00,2018-01-09T00:00:00,NO CAUSE FOR ACTION INSPECTION
15239,173506,HCE-20180117-3633,2018-01-26T00:00:00,2018-01-26T00:00:00,
15240,173388,HCE-20171207-5150,2018-01-18T00:00:00,2018-01-19T00:00:00,
15241,173169,HCE-20180104-1043,2018-01-05T00:00:00,2018-01-08T00:00:00,NO CAUSE FOR ACTION INSPECTION
15242,173275,HCE-20171228-5282,2018-01-09T00:00:00,2018-01-11T00:00:00,
15243,173389,HCE-20180119-3659,2018-01-18T00:00:00,2018-01-19T00:00:00,
15244,173555,HCE-20170705-3548,2018-01-31T00:00:00,2018-01-31T00:00:00,
15245,173264,HCE-20170921-4524,2018-01-09T00:00:00,2018-01-11T00:00:00,
15246,173433,HCE-20171108-4960,2018-01-18T00:00:00,2018-01-23T00:00:00,
15247,173285,HCE-20180105-1445,2018-01-12T00:00:00,2018-01-12T00:00:00,
15248,173243,HCE-20171128-5078,2018-01-09T00:00:00,2018-01-10T00:00:00,NO CAUSE FOR ACTION INSPECTION
15249,173240,HCE-20171128-5076,2018-01-08T00:00:00,2018-01-10T00:00:00,
15250,173322,HCE-20171117-5034,2018-01-12T00:00:00,2018-01-16T00:00:00,NO CAUSE FOR ACTION INSPECTION
15251,173553,HCE-20171214-5195,2018-01-31T00:00:00,2018-01-31T00:00:00,
15252,173287,HCE-20170605-3266,2018-01-11T00:00:00,2018-01-12T00:00:00,
15253,173474,HCE-20171025-4845,2018-01-25T00:00:00,2018-01-25T00:00:00,
15254,173437,HCE-20171106-4923,2018-01-09T00:00:00,2018-01-23T00:00:00,
15255,173436,HCE-20170922-4535,2018-01-16T00:00:00,2018-01-23T00:00:00,
